Name,x,y,Admin1,Admin2,Admin3
Central Hospital,40,-15,Central,Lilongwe,Area 3
Mzuzu Health Center,34.0135,-11.4526,Northern,Mzuzu,Katoto
Queen Elizabeth Hospital,34.0135,-11.4526,Southern,Blantyre,Ndirande
Mangochi District Hospital,35.2634,-14.4781,Southern,Mangochi,Mangochi Town
Salima Rural Clinic,34.4582,-13.7804,Central,Salima,Salima Town
Karonga Health Post,33.9267,-9.9328,Northern,Karonga,Karonga Town
Zomba Central Hospital,35.3359,-15.3833,Southern,Zomba,Zomba Town
Kasungu General Hospital,33.4846,-13.0337,Central,Kasungu,Kasungu Town
Mulanje Mission Hospital,35.5012,-16.0316,Southern,Mulanje,Mulanje Town
Nkhotakota Rural Hospital,34.2957,-12.9274,Central,Nkhotakota,Nkhotakota Town
Thyolo District Hospital,35.1408,-16.0675,Southern,Thyolo,Thyolo Town
Rumphi Health Center,33.8056,-11.0187,Northern,Rumphi,Rumphi Town
Dedza Hospital,34.3339,-14.3779,Central,Dedza,Dedza Town
Mchinji Rural Clinic,32.8812,-13.7984,Central,Mchinji,Mchinji Town
Ntcheu District Hospital,34.6358,-14.8203,Central,Ntcheu,Ntcheu Town
Balaka Health Center,34.9578,-15.0494,Southern,Balaka,Balaka Town
Mwanza Hospital,34.5247,-15.6028,Southern,Mwanza,Mwanza Town
Neno Health Post,34.6541,-15.3983,Southern,Neno,Neno Town
Likoma Island Clinic,34.7356,-12.0589,Northern,Likoma,Likoma Island
Chitipa District Hospital,33.2694,-9.7028,Northern,Chitipa,Chitipa Town
Phalombe Health Center,35.6512,-15.8014,Southern,Phalombe,Phalombe Town
Nsanje Rural Hospital,35.2617,-16.9194,Southern,Nsanje,Nsanje Town
Chikwawa District Hospital,34.7939,-16.0336,Southern,Chikwawa,Chikwawa Town
Machinga Health Post,35.4789,-15.1847,Southern,Machinga,Machinga Town
Lilongwe Rural Clinic,33.7689,-14.1125,Central,Lilongwe,Area 25
Blantyre Private Clinic,35.0097,-15.6792,Southern,Blantyre,Kabula
Mzimba Health Center,33.5978,-11.8975,Northern,Mzimba,Mzimba Town
Chiradzulu Hospital,35.1847,-15.6842,Southern,Chiradzulu,Chiradzulu Town
Dowa District Hospital,33.9375,-13.6542,Central,Dowa,Dowa Town
Ntchisi Rural Clinic,33.9139,-13.3742,Central,Ntchisi,Ntchisi Town
